iso3,mys_f_1990,mys_f_1991,mys_f_1992,mys_f_1993,mys_f_1994,mys_f_1995,mys_f_1996,mys_f_1997,mys_f_1998,mys_f_1999,mys_f_2000,mys_f_2001,mys_f_2002,mys_f_2003,mys_f_2004,mys_f_2005,mys_f_2006,mys_f_2007,mys_f_2008,mys_f_2009,mys_f_2010,mys_f_2011,mys_f_2012,mys_f_2013,mys_f_2014
URY,7.759184583,7.686853202,7.61452182,7.542190438,7.469859057,7.397527675,7.61232996,7.830428532,8.048527105,8.266625677,8.484724249,8.702822821,8.920921394,9.139019966,8.817373276,8.495726585,8.174079895,8.364799976,8.555520058,8.552359581,8.506019592,8.625780106,8.719420433,8.742690086,8.854610443
USA,12.88052807,12.923876,12.96722393,13.01057186,13.05391979,13.02611685,12.9983139,12.97051096,12.94270802,12.91490507,12.88710213,12.85929918,12.83149624,12.80369329,12.77589035,12.79625034,12.91238976,12.94924974,12.98610973,13.00767994,13.0636797,13.10387993,13.13673973,13.20598984,13.24683952
UZB,,,,,,,,,,,9.812784144,9.904191034,9.996449386,10.08956713,10.18355228,10.2784129,10.37415716,10.47079329,10.56832959,10.66677444,10.76613632,10.86642377,10.9676454,11.06980991,11.1547699
VCT,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,5.221179962,5.373555601,5.525931239,5.678306878,5.830682516,5.983058155,6.135433793,6.287809432,6.44018507,6.592560709,6.744936347,6.897311985,7.049687624,7.202063262,7.354438901,7.506814539,7.659190178,8.179120064,8.36166954,8.506750107,8.976644993,9.446539879,9.577762365,9.708984852,9.840207338
VNM,3.589291499,3.727898145,3.866504791,4.005111436,4.143718082,4.282324728,4.456100224,4.62987572,4.803651216,4.977426713,5.151202209,5.362215311,5.573228414,5.784241516,5.995254619,6.206267722,6.413143312,6.620018903,6.826894494,7.033770084,7.13382411,7.233878136,7.333932161,7.433986187,7.534040213
VUT,,,,,,,,,,,,,,,,,,,,,,,,,
WSM,10.22523632,10.29636917,10.36799687,10.44012285,10.51275058,10.58588356,10.65952529,10.73367932,10.80834921,10.88353854,10.95925094,11.03549004,11.11333504,11.19118004,11.26902504,11.34687004,11.42471504,11.50256004,11.58040504,11.65825005,11.73609505,11.81394005,11.80951338,11.8050867,11.80066003
YEM,0.1,0.12,0.14,0.16,0.18,0.2,0.244,0.288,0.332,0.376,0.42,0.5,0.58,0.66,0.74,0.82,0.918,1.016,1.114,1.212,1.31,1.51,1.71,1.71,1.71
ZAF,6.378619178,6.741678949,7.10473872,7.467798491,7.830858261,8.193918032,7.953215422,7.712512811,7.471810201,7.23110759,6.99040498,7.201019764,8.287039757,8.470330238,8.617560387,8.609950066,8.665579796,8.819749832,8.917420387,9.3499403,9.42043972,9.528490067,9.72262001,9.846630096,9.970640182
ZMB,3.228640079,3.740008539,4.251376999,4.762745459,5.274113919,5.391984748,5.592967194,5.400452009,5.207936824,5.015421639,4.822906454,4.935206979,5.047507503,5.159808028,5.272108552,5.384409077,5.478661303,5.572913529,5.667165754,5.76141798,5.855670206,5.992035129,6.128400052,6.264764974,6.401129897
ZWE,4.203840757,4.344511824,4.489890099,4.640133095,4.790376091,4.940619087,5.090862083,5.24110508,5.391348076,5.541591072,5.691834068,5.842077065,5.992320061,6.143753052,6.295186043,6.446619034,6.598052025,6.749485016,6.900918007,7.052350998,7.203783989,7.35521698,7.506649971,7.500794888,7.494939804
ZZA.VHHD,9.316627094,9.438687315,9.562069143,9.68494673,9.805001696,9.908160325,10.02781078,10.14629108,10.26414632,10.38004044,10.49601488,10.61087334,10.73294362,10.85073518,10.95789597,11.01434155,11.09865282,11.18412252,11.27201243,11.34611592,11.44362386,11.53142,11.62665365,11.68723103,11.76575076
ZZB.HHD,3.983643464,4.167747072,4.352454353,4.536129518,4.718567287,4.927426508,5.104618315,5.273719075,5.443500778,5.614234271,5.804462879,5.929660492,6.069955448,6.195833806,6.322554184,6.446431856,6.571784693,6.61962606,6.725818874,6.854645885,6.970173603,7.096591891,7.232701018,7.353426666,7.472732405
ZZC.MHD,2.307974126,2.380399055,2.452410451,2.523995641,2.59624544,2.667551723,2.886226149,3.103128121,3.319557701,3.520557522,3.729296485,3.731974112,3.730905943,3.731702595,3.732736199,3.719743025,3.841404258,3.973518096,4.094527751,4.225119823,4.358233439,4.607101026,4.858166723,5.086358828,5.330651759
ZZD.LHD,,,,,,,,,,1.934036497,1.848370025,1.95088301,2.051028348,2.408680531,2.546919553,2.680646258,2.771909535,2.824598235,2.903587459,2.950765497,2.96996097,3.068523377,3.223431826,3.355563717,3.493324291
ZZE.AS,2.858350724,3.028688284,3.205045076,3.375979048,3.546164855,3.717142849,3.914536226,4.000683158,4.087998909,4.176575209,4.267615347,4.368842706,4.472032445,4.586600941,4.721739822,4.874271961,4.992301078,5.214874664,5.390072545,5.597577512,5.789760342,6.006962263,6.218830878,6.432606358,6.592590607
ZZF.EAP,3.462432042,3.645289012,3.828108925,4.010837575,4.193574803,4.376343717,4.566712209,4.759657714,4.952332474,5.145073336,5.316977338,5.456548329,5.596681711,5.737458685,5.878581989,5.989467637,6.107900932,6.136213187,6.249509626,6.380029509,6.488743877,6.614380095,6.737597718,6.861181539,6.978238618
ZZG.ECA,6.915886421,7.04307907,7.167818801,7.282876031,7.392352258,7.78542528,7.892786447,8.000698606,8.109203217,8.218828851,8.447741399,8.549284941,8.649754356,8.779111562,8.905625074,8.997465043,9.088827103,9.192636783,9.333430323,9.389071128,9.571186443,9.686003063,9.762555919,9.837947309,9.919095593
ZZH.LAC,5.288743078,5.404320974,5.524547766,5.642002262,5.758528818,5.876776855,5.991187567,6.107335066,6.222989083,6.337044848,6.450164722,6.575868646,6.734042065,6.89239014,7.011903487,7.131819691,7.228207147,7.397255035,7.532001329,7.627231757,7.758531037,7.89170202,8.078792038,8.175098497,8.290891335
ZZI.SA,1.962836254,2.03794666,2.110179871,2.178626412,2.246798521,2.317788486,2.552547539,2.787686733,3.023093053,3.258410999,3.493968136,3.490533344,3.481231091,3.472416134,3.467019327,3.462449855,3.596117585,3.687636642,3.778011269,3.920811495,4.050195402,4.303911886,4.583296987,4.826935086,5.106184751
ZZJ.SSA,,,,,,,,,,3.610278105,3.228721745,3.302896105,3.485564605,3.549286193,3.661055578,3.752230682,3.868328846,3.983524099,4.107573761,4.15483525,4.171642211,4.247062325,4.344011772,4.456534525,4.559226497
ZZK.WORLD,5.349570895,5.461562173,5.575174533,5.687717388,5.798209965,5.922168248,6.063949674,6.202588562,6.341158301,6.457220787,6.554979923,6.628809162,6.710071028,6.73796722,6.812613861,6.866764904,6.95821155,7.018934722,7.099384815,7.187767097,7.274654241,7.397391848,7.532087597,7.645000725,7.767582123
